GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GitHub Copilot SDK :: Java,com.github.copilot,CopilotWebSocketForwarder.ForwardingListener,52,44,3,1,15,11,5,3,3,3
GitHub Copilot SDK :: Java,com.github.copilot,LlmWebSocketResponseBridge,36,61,3,5,7,21,6,7,3,6
GitHub Copilot SDK :: Java,com.github.copilot,SystemMessageMode,0,35,0,0,0,8,0,3,0,3
GitHub Copilot SDK :: Java,com.github.copilot,CliServerManager.ProcessInfo,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,ExtractedTransforms,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,JsonRpcException,0,10,0,0,0,4,0,2,0,2
GitHub Copilot SDK :: Java,com.github.copilot,CopilotRequestContext,30,99,0,0,3,26,3,13,3,13
GitHub Copilot SDK :: Java,com.github.copilot,LlmInferenceExchange,59,356,11,16,13,83,11,27,1,23
GitHub Copilot SDK :: Java,com.github.copilot,ConnectionState,0,27,0,0,0,5,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,CopilotClient,505,1745,119,193,121,387,92,136,7,65
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession,1062,2009,114,171,254,474,118,148,32,88
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.AgentGetCurrentResponse,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.AgentSelectResponse,6,0,0,0,1,0,1,0,1,0
GitHub Copilot SDK :: Java,com.github.copilot,CopilotRequestTransport,0,23,0,2,0,4,0,3,0,2
GitHub Copilot SDK :: Java,com.github.copilot,LoggingHelpers,13,52,2,4,3,11,2,4,0,3
GitHub Copilot SDK :: Java,com.github.copilot,InternalExecutorProvider,0,17,0,2,0,7,0,4,0,3
GitHub Copilot SDK :: Java,com.github.copilot,CopilotWebSocketCloseStatus,29,0,0,0,9,0,5,0,5,0
GitHub Copilot SDK :: Java,com.github.copilot,CopilotExperimentalProcessor,35,221,8,32,8,54,8,24,0,11
GitHub Copilot SDK :: Java,com.github.copilot,EventErrorPolicy,0,15,0,0,0,3,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,CopilotWebSocketMessage,8,16,0,0,1,2,1,2,1,2
GitHub Copilot SDK :: Java,com.github.copilot,SdkProtocolVersion,0,24,0,0,0,7,0,4,0,4
GitHub Copilot SDK :: Java,com.github.copilot,LlmInferenceExchange.BodyItem,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,CliServerManager,81,573,17,71,22,128,15,43,1,13
GitHub Copilot SDK :: Java,com.github.copilot,LlmInferenceExchange.ItemKind,0,21,0,0,0,2,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,CopilotWebSocketHandler,44,39,9,1,12,13,7,5,2,5
GitHub Copilot SDK :: Java,com.github.copilot,JsonRpcClient,31,673,5,67,10,179,5,53,0,22
GitHub Copilot SDK :: Java,com.github.copilot,CopilotClient.Connection,0,12,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,LlmInferenceExchange.BodyFrame,0,9,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot,RpcHandlerDispatcher,453,974,40,64,128,223,38,63,8,41
GitHub Copilot SDK :: Java,com.github.copilot,GitHubTelemetryAdapter,11,48,3,3,3,16,3,6,0,6
GitHub Copilot SDK :: Java,com.github.copilot,SessionRequestBuilder,12,991,8,124,3,236,8,67,0,9
GitHub Copilot SDK :: Java,com.github.copilot,CopilotRequestHandler,83,300,18,26,23,67,18,21,3,14
GitHub Copilot SDK :: Java,com.github.copilot,CopilotWebSocketForwarder,68,108,14,12,19,27,14,7,3,5
GitHub Copilot SDK :: Java,com.github.copilot,LifecycleEventManager,0,176,1,7,0,41,1,11,0,8
GitHub Copilot SDK :: Java,com.github.copilot,LlmInferenceAdapter,46,364,16,28,14,82,15,28,0,21
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.SessionUiApiImpl,330,6,44,0,62,1,30,1,8,1
GitHub Copilot SDK :: Java,com.github.copilot,CopilotSession.AgentListResponse,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,SessionQueueProcessParams,0,6,0,0,0,1,0,1,0,1
GitHub Copilot SDK :: Java,com.github.copilot.generated.rpc,PluginsMarketplacesAddParams,0,9,0,0,0,1,0,1,0,1
